"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
60,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","北出島","宮前","13",22000000,"360000","","200",110000,"ほぼ長方形","19.1","","","","","住宅","南","道路",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
61,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","北野","紀伊","4",3100000,"250000","","40",77000,"ほぼ長方形","","","","","","その他","北西","県道",6.0,"第２種住居地域",60,200,"2020年第４四半期","",""
62,"中古マンション等","","30201","和歌山県","和歌山市","北野","紀伊","10",5200000,"","３ＬＤＫ","75",,"","","","平成3年","ＳＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
63,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","木ノ本","中松江","21",6300000,"","","100",,"ほぼ正方形","10.0","100","平成7年","木造","住宅","住宅","東","私道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","","調停・競売等"
64,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","19",500000,"7700","","220",2300,"ほぼ長方形","","","","","","その他","接面道路無","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","隣地の購入"
65,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","25",11000000,"64000","","560",19000,"不整形","31.0","","","","","住宅","北","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
66,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","30分?60分",5500000,"94000","","195",28000,"ほぼ長方形","11.0","","","","","住宅","北西","道路",,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
67,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","9",6200000,"","","85",,"ほぼ長方形","7.0","65","昭和56年","木造","住宅","住宅","北東","市道",4.0,"準住居地域",60,200,"2020年第４四半期","",""
68,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","15",8300000,"170000","","165",51000,"ほぼ長方形","9.2","","","","","住宅","東","私道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
69,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","木ノ本","八幡前(和歌山)","25",1700000,"140000","","40",44000,"ほぼ長方形","3.5","","","","","その他","北","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
